,age,stamina,handling,attack,defense,technique,strength,jumping,speed,agility,kicking,form,aggression,discipline,leadership,experience,weight,height,energy,csr
0,34.0,14.0,13.0,12.0,14.0,15.0,14.0,13.0,11.0,12.0,1.0,9.0,3.0,4.0,5.0,8.0,112.0,203.0,11.0,141146.0
1,33.0,13.0,12.0,14.0,16.0,6.0,6.0,7.0,13.0,11.0,12.0,8.0,2.0,3.0,8.0,7.0,83.0,191.0,9.0,103797.0
2,25.0,12.0,11.0,15.0,15.0,13.0,11.0,8.0,7.0,6.0,3.0,6.0,3.0,4.0,4.0,3.0,99.0,188.0,11.0,86828.0
3,33.0,17.0,17.0,15.0,14.0,17.0,17.0,11.0,13.0,8.0,3.0,8.0,2.0,3.0,3.0,7.0,120.0,197.0,11.0,225912.0
4,17.0,10.0,11.0,7.0,5.0,10.0,9.0,12.0,8.0,5.0,3.0,8.0,2.0,4.0,8.0,1.0,111.0,200.0,9.0,36298.0
5,21.0,14.0,14.0,13.0,12.0,14.0,14.0,9.0,9.0,10.0,2.0,6.0,4.0,3.0,5.0,3.0,100.0,194.0,11.0,106884.0
6,20.0,14.0,14.0,14.0,14.0,14.0,14.0,7.0,8.0,7.0,2.0,5.0,2.0,3.0,10.0,3.0,107.0,180.0,11.0,102269.0
7,20.0,14.0,14.0,13.0,14.0,14.0,13.0,6.0,6.0,4.0,2.0,7.0,2.0,4.0,5.0,3.0,114.0,187.0,11.0,92708.0
8,18.0,5.0,9.0,8.0,11.0,13.0,11.0,5.0,6.0,5.0,2.0,5.0,4.0,3.0,8.0,2.0,124.0,189.0,11.0,33905.0
9,35.0,11.0,5.0,15.0,13.0,6.0,11.0,1.0,12.0,11.0,2.0,11.0,2.0,4.0,10.0,8.0,79.0,188.0,11.0,76835.0
10,26.0,4.0,5.0,15.0,8.0,16.0,10.0,6.0,4.0,10.0,2.0,7.0,3.0,3.0,5.0,3.0,103.0,198.0,11.0,70632.0
11,35.0,11.0,11.0,15.0,14.0,14.0,14.0,2.0,8.0,10.0,1.0,10.0,4.0,1.0,9.0,6.0,102.0,187.0,11.0,98772.0
12,26.0,6.0,6.0,15.0,12.0,15.0,12.0,6.0,4.0,12.0,2.0,5.0,1.0,4.0,2.0,3.0,110.0,184.0,11.0,85405.0
13,35.0,15.0,9.0,15.0,17.0,16.0,16.0,6.0,11.0,5.0,3.0,9.0,5.0,2.0,2.0,8.0,104.0,180.0,8.0,159468.0
14,34.0,17.0,10.0,16.0,16.0,11.0,12.0,10.0,3.0,3.0,1.0,7.0,1.0,1.0,6.0,8.0,119.0,196.0,11.0,124166.0
15,35.0,12.0,14.0,14.0,13.0,14.0,14.0,4.0,10.0,7.0,4.0,8.0,3.0,3.0,5.0,5.0,118.0,185.0,11.0,101433.0
16,34.0,15.0,15.0,15.0,15.0,6.0,7.0,4.0,15.0,15.0,5.0,6.0,5.0,3.0,3.0,8.0,89.0,188.0,11.0,142277.0
17,19.0,14.0,8.0,13.0,14.0,14.0,14.0,14.0,13.0,10.0,3.0,5.0,3.0,2.0,6.0,2.0,99.0,193.0,10.0,110794.0
18,19.0,13.0,11.0,13.0,11.0,14.0,13.0,6.0,11.0,9.0,3.0,8.0,2.0,2.0,1.0,3.0,94.0,188.0,10.0,84670.0
19,17.0,10.0,10.0,10.0,5.0,11.0,10.0,13.0,7.0,6.0,2.0,9.0,2.0,3.0,8.0,1.0,105.0,201.0,11.0,48377.0
20,33.0,17.0,17.0,15.0,17.0,17.0,17.0,7.0,11.0,10.0,3.0,7.0,3.0,3.0,8.0,7.0,108.0,184.0,11.0,238497.0
21,19.0,14.0,14.0,11.0,14.0,14.0,13.0,5.0,5.0,4.0,7.0,10.0,4.0,3.0,7.0,1.0,101.0,189.0,11.0,94267.0
